File number,Character,Type,Line,Character ID,Type,shr,Value ,Base Value,,,
00057,Junko,Trial 6,There's no way  anything that occurred in the game could affect the real world.,18,6,0,58,58,,,
00058,Junko,Trial 6,The game where you throw my words back at me is over. So you don't really have to worry about it!,18,6,0,59,59,,,
00059,Junko,Trial 6,That's right. That's why you should finish this game and go back to living a normal life in the real world.,18,6,0,60,60,,,
00060,Junko,Trial 6,Hm?,18,6,0,61,61,,,
00061,Junko,Trial 6,"Maaan, so annoying! You're so petty. It's not like you're a housewife living on a tight budget.",18,6,0,62,62,,,
00062,Junko,Trial 6,All I want is to put on this graduation performance in a more dramatic way.,18,6,0,63,63,,,
00063,Junko,Trial 6,"Well, if you doubt me, you don't have to go back. Is that what you want? Not to go back?",18,6,0,64,64,,,
00064,Junko,Trial 6,Just as expected from the winners of this killing school trip. Your will to live is truly Ultimate.,18,6,0,65,65,,,
00065,Junko,Trial 6,Wonderful! That's just more reason for you to execute your role as devices.,18,6,0,66,66,,,
00066,Junko,Trial 6,"Okay, now let's stop stalling for time with exposition and hurry up and do it!",18,6,0,67,67,,,
00067,Junko,Trial 6,"Now then, why don't you guys just go ahead and answer with the touch panel that's in front of you?",18,6,0,68,68,,,
00068,Junko,Trial 6,I'm gonna do it... I'm seriously gonna do it. If you  don't hurry up I'm seriously really gonna dooo it!,18,6,0,69,69,,,
00069,Junko,Trial 6,"You don't have to say ""Who are you talking to?"". It doesn't concern a chump like you, Hajime.",18,6,0,70,70,,,
00070,Junko,Trial 6,"It's not ""again"". This time it's the real one.",18,6,0,71,71,,,
00071,Junko,Trial 6,Just when the chumps are in a pinch he's suddenly able to enter for reasons unknown.,18,6,0,72,72,,,
00072,Junko,Trial 6,And thus the main character gallantly appears!,18,6,0,73,73,,,
00073,Junko,Trial 6,"Ahahaha-haha, so cruel! Haha-haha, I'm drooling, haha, so-so much! Haha-haha-ki!",18,6,0,74,74,,,
00074,Junko,Trial 6,"Aaahaha, I'm droooling, ha, I can't stop my leaaaking, haha!",18,6,0,75,75,,,
00075,Junko,Trial 6,"Since I used my tricks to hack into the program he must've hacked in with his too, right?",18,6,0,76,76,,,
00076,Junko,Trial 6,"That's also how you capture memories, right? Even though you haven't aged a day, just like these guys.",18,6,0,77,77,,,
00077,Junko,Trial 6,Don't you understand?,18,6,0,78,78,,,
00078,Junko,Trial 6,It doesn't matter how you got here. As long as you're here you'll be treated like one of my students.,18,6,0,79,79,,,
00079,Junko,Trial 6,"Which meaaans, you must respect my authority.",18,6,0,80,80,,,
00080,Junko,Trial 6,"Ugh, you always had such reckless hope. I love you so much that you disgust me!",18,6,0,81,81,,,
00081,Junko,Trial 6,"Who, li'l old me?",18,6,0,82,82,,,
00082,Junko,Trial 6,"That doesn't mean I was lying, you know? I just didn't make some things clear.",18,6,0,83,83,,,
00083,Junko,Trial 6,"And, even if they're overwritten by my Alter Ego it doesn't mean they'll be a completely different person.",18,6,0,84,84,,,
00084,Junko,Trial 6,The data of everyone who died is stored within me. So I'm sure I can convincingly act out their personalities.,18,6,0,85,85,,,
00085,Junko,Trial 6,"In fact, I have a looot of data on Fuyuhiko. So, I know some things that'll make you happy.",18,6,0,86,86,,,
00086,Junko,Trial 6,I can play a version of Peko that's more to your liking than she ever was.,18,6,0,87,87,,,
00087,Junko,Trial 6,"Ahahahahahaha, Operation Junkofy All Mankind begins here!",18,6,0,88,88,,,
00088,Junko,Trial 6,After uploading my Alter Ego into everyone who died I'm gonna take over the Future Foundation's headquarters.,18,6,0,89,89,,,
00089,Junko,Trial 6,"And then, eventually, there's gonna be a whole lot of me's all over the world!",18,6,0,90,90,,,
00090,Junko,Trial 6,"With this, my despair-utopia where you can despair as you please, Junkoland, will be complete!",18,6,0,91,91,,,
00091,Junko,Trial 6,That's Operation Junkofy All Mankind in a nutshell. Oh yeah! Our dreams are expanding-anding-anding...,18,6,0,92,92,,,
00092,Junko,Trial 6,Is that what you want me to do? Is it still too late to do that?,18,6,0,93,93,,,
00093,Junko,Trial 6,"Man, I was sooo annoyed. I had the authority to add rules but not the authority to delete rules.",18,6,0,94,94,,,
00094,Junko,Trial 6,"Oh well, even if I could've deleted rules. I was still busy with my whole ""taking over your bodies"" plan.",18,6,0,95,95,,,
00095,Junko,Trial 6,"Like I said, I personally didn't care about the outcome of the killings.",18,6,0,96,96,,,
00096,Junko,Trial 6,"Heh, chump change.",18,6,0,97,97,,,
00097,Junko,Trial 6,"That's my Makoto. Mmh, you understand me so well.",18,6,0,98,98,,,
00098,Junko,Trial 6,"For me, despair is not a goal or a set of principles, or a lifestyle, or even an instinct.",18,6,0,99,99,,,
00099,Junko,Trial 6,It's what defines me as Junko Enoshima. It's just my characterization.,18,6,0,100,100,,,
00100,Junko,Trial 6,That's why I'm able to pursue despair with such purity.,18,6,0,101,101,,,
00101,Junko,Trial 6,"For example, when I hear about a beautiful memory that even I, who gets bored easily, still remember fondly...",18,6,0,102,102,,,
00102,Junko,Trial 6,Picture thousands of fools who are madly in love with me dying one by one like insects doused with bug spray.,18,6,0,103,103,,,
00103,Junko,Trial 6,"And the best part is: They did it to themselves, you know?",18,6,0,104,104,,,
00104,Junko,Trial 6,"Thousands of humans falling like dominoes ah-oooh. That memory is sooo beautiful, it made my brain melt.",18,6,0,105,105,,,
00105,Junko,Trial 6,"Oh yeah, I totally forgot you were a survivor of the Reserve Course. By the way, I'm so sorry for your loss.",18,6,0,106,106,,,
00106,Junko,Trial 6,"You don't have to be that surprised. You all look like your parents, friends and lovers all died at once.",18,6,0,107,107,,,
00107,Junko,Trial 6,"Unhhh, that was so rude of me. There's no way you guys even have meaningfull relationships like that anymore.",18,6,0,108,108,,,
00108,Junko,Trial 6,"I mean, you're all Ultimate Despair. You guys have already eaten your fill of despair.",18,6,0,109,109,,,
00109,Junko,Trial 6,"If shomeone like me ish born, that meansh the world ish yeaaarning for deshpair!",18,6,0,110,110,,,
00110,Junko,Trial 6,"But if you do that you guys won't be able to return to the real worl, right?",18,6,0,111,111,,,
00111,Junko,Trial 6,It's such a cruel fate for you guys. But it's awfully convenient for the Future Foundation.,18,6,0,112,112,,,
00112,Junko,Trial 6,"They'll be able to keep all the Ultimate Despairs, including me, trapped in this game forever.",18,6,0,113,113,,,
00113,Junko,Trial 6,"Buuut, Ultimate Despair is hated worldwide. And their lives are no doubt targetted by the Future Foundation.",18,6,0,114,114,,,
00114,Junko,Trial 6,"Oh well, if you don't want to acknowledge that I guess it just can't be helped, can't be helped. Hehe, LOL.",18,6,0,115,115,,,
00115,Junko,Trial 6,But it's sooo ironic! You came all the way here just to find out that graduating is the wrong choice!,18,6,0,116,116,,,
00116,Junko,Trial 6,"Even though you came all this way to win this way, even though you kept sacrificing your friends to win.",18,6,0,117,117,,,
00117,Junko,Trial 6,The goal you guys squirmed to reach was wrong all along! Isn't that just so fucking tragic?,18,6,0,118,118,,,
00118,Junko,Trial 6,"No-ho, no. There's no way such a convenient- *gasp*",18,6,0,119,119,,,
00119,Junko,Trial 6,"Huh? There is? Really? Well, that's the first I've heard of it.",18,6,0,120,120,,,
00120,Junko,Trial 6,"Dear me, I have an unfortunate announcement to make, class. You cannot activate the shutdown.",18,6,0,121,121,,,
00121,Junko,Trial 6,"More importantly, do you know why? Do you know why you can't activate the shutdown?",18,6,0,122,122,,,
00122,Junko,Trial 6,"*Cough* Pay attention, class. According to my information, in order to initiate the shutdown...",18,6,0,123,123,,,
00123,Junko,Trial 6,"...out of 15 people, more than half of them must press ""Graduate"" and ""Repeat"" at the same time.",18,6,0,124,124,,,
00124,Junko,Trial 6,Am I correct?,18,6,0,125,125,,,
00125,Junko,Trial 6,"Even if you wanna cheat, I won't let'cha.",18,6,0,126,126,,,
00126,Junko,Trial 6,The shutdown sequence won't activate unless it knows that different people initiate it.,18,6,0,127,127,,,
00127,Junko,Trial 6,So it's toootally impossible.,18,6,0,128,128,,,
00128,Junko,Trial 6,"Then try explaining it to us. What is this ""chance of winning"" of which you speak?",18,6,0,129,129,,,
00129,Junko,Trial 6,Wha-hat? I can't hear you. You gotta speak up since you're sooo puny.,18,6,0,130,130,,,
00130,Junko,Trial 6,How exciting! I haven't seen these faces in ages! It's like opening your high school year book ten years later.,18,6,0,131,131,,,
00131,Junko,Trial 6,"What? What kind of man isn't excited by big women? Once you get some more experience, you'll understand.",18,6,0,132,132,,,
00132,Junko,Trial 6,There's a looot of kinky things you can do with big girls...,18,6,0,133,133,,,
00133,Junko,Trial 6,"The former heroes plunging themselves into the game world, ignoring all danger...",18,6,0,134,134,,,
00134,Junko,Trial 6,"Jeez, s-stupids! Making such a suicidal move... Did you r-really wanna see me that badly?",18,6,0,135,135,,,
00135,Junko,Trial 6,...,18,6,0,136,136,,,
00136,Junko,Trial 6,Waaahahaaa *Crying*,18,6,0,137,137,,,
00137,Junko,Trial 6,"*Sob sob* You guys showed up looking all cool and stuff... *Sob* And now, all the Ultimate Despairs...",18,6,0,138,138,,,
00138,Junko,Trial 6,Waaahahaaa *Sob* They'll be treated like even bigger chumps!,18,6,0,139,139,,,
00139,Junko,Trial 6,That's right! Back to being hopelessly controlled by me. When you used to feel despair upon despair.,18,6,0,140,140,,,
00140,Junko,Trial 6,But I though the Future Foundation wanted to kill every last Ultimate Despair.,18,6,0,141,141,,,
00141,Junko,Trial 6,"When you say ""support"", do you mean ""you won't suffer when I kill you"" or...?",18,6,0,142,142,,,
00142,Junko,Trial 6,"Can you stop saying cheesy stuff like ""brainwashed""? Washing your brain is like... really nasty.",18,6,0,143,143,,,
00143,Junko,Trial 6,It doesn't matter what you want. That's the reality.,18,6,0,144,144,,,
00144,Junko,Trial 6,Every meaningless thing that happened here will vanish from your minds.,18,6,0,145,145,,,
00145,Junko,Trial 6,"Memory's not all that'll go back to normal. If you lost a limb like Nagtio, it'll still be gone when...",18,6,0,146,146,,,
00146,Junko,Trial 6,"It seems my teachings where quite thorough. However, if you ask me...",18,6,0,147,147,,,
00147,Junko,Trial 6,"People who cling to stuff like hope, talent or admiration are truly the weakest.",18,6,0,148,148,,,
00148,Junko,Trial 6,"Guys who desperately wanna reach the top, they don't think about what'll happen when they're pushed off.",18,6,0,149,149,,,
00149,Junko,Trial 6,They're probably too concerned with having a really nice view while they condescend to others.,18,6,0,150,150,,,
00150,Junko,Trial 6,"Showing off guys like that is sooo easy, heh. I happen to know 17,082 ways to do that.",18,6,0,151,151,,,
00151,Junko,Trial 6,"The point is: the moment you cling to talent and hope, despair has already set in.",18,6,0,152,152,,,
00152,Junko,Trial 6,"Then, what if you think about it like this...",18,6,0,153,153,,,
00153,Junko,Trial 6,It turns out that you guys being Ultimate Despair was just part of the game world.,18,6,0,154,154,,,
00154,Junko,Trial 6,"And in truth, those guys from the Future Foundation might be part of the game world too.",18,6,0,155,155,,,
00155,Junko,Trial 6,They're simply side characters of the game world whose role is to offer hopeless hope to you guys.,18,6,0,156,156,,,
00156,Junko,Trial 6,"Well, after saying all that... I don't even know what's real and what's a game anymore.",18,6,0,157,157,,,
00157,Junko,Trial 6,"Before you do that, we gotta do some reviewing.",18,6,0,158,158,,,
00158,Junko,Trial 6,"Ahem... When you guys activate the shutdown, you'll revert back to when you were known as Ultimate Despair.",18,6,0,159,159,,,
00159,Junko,Trial 6,And your dead friends will never be revived.,18,6,0,160,160,,,
00160,Junko,Trial 6,"And the embodiment, aka me, will be erased. Therey preserving hope in the real world.",18,6,0,161,161,,,
00161,Junko,Trial 6,"Now then, will the hope of the Future Foundation win? Or will my despair win?",18,6,0,162,162,,,
00162,Junko,Trial 6,Alll right! Thingsh are shtarting to heat up!,18,6,0,163,163,,,
00163,Junko,Trial 6,"Au contraire, this is a game. A game of hope and despair that started with your killing school life.",18,6,0,164,164,,,
00164,Junko,Trial 6,That explains why these chumps who weren't around last time have been reduced to mere side characters.,18,6,0,165,165,,,
00165,Junko,Trial 6,Only cause it's trueee!,18,6,0,166,166,,,
00166,Junko,Trial 6,"Most importantly, the killing school trip wasn't just for your sake.",18,6,0,167,167,,,
00167,Junko,Trial 6,There was a more important goal there. The goal of luring a specific group of people.,18,6,0,168,168,,,
00168,Junko,Trial 6,"Ah, since now's a great time, why don't we make that the question?",18,6,0,169,169,,,
00169,Junko,Trial 6,As long as we're in the game world the rules say I gotta ask questions every now and then.,18,6,0,170,170,,,
00170,Junko,Trial 6,Sooo question: Who did I lure and how did I do it?,18,6,0,171,171,,,
00171,Junko,Trial 6,"The hint is, I get bored easily. So the same outcome as the killing school life would be a pain in the ass.",18,6,0,172,172,,,
00172,Junko,Trial 6,"Okie-dokie, let's all think about it together!",18,6,0,173,173,,,
00173,Junko,Trial 6,Ding-ding-ding! I was broadcasting the killing school trip live to every member of the Future Foundation.,18,6,0,174,174,,,
00174,Junko,Trial 6,"And you came all the way here when you knew it was a trap. I get it, you couldn't just leave them alone...",18,6,0,175,175,,,
00175,Junko,Trial 6,"If you saw people dying one by one with your own eyes, by the same killing game you guys played...",18,6,0,176,176,,,
00176,Junko,Trial 6,"...hope dictates that you act all high-and-mighty and say ""Ooh, I'm definitely gonna stop it this time!"", right?",18,6,0,177,177,,,
00177,Junko,Trial 6,Of course we made you do it for that reason!,18,6,0,178,178,,,
00178,Junko,Trial 6,We orchestrated this game instead of killing you outright solely to show it off to the Future Foundation.,18,6,0,179,179,,,
00179,Junko,Trial 6,"That's why you guys are chumps! You're just the bait I used to catch the big fish, called the Future Foundation.",18,6,0,180,180,,,
00180,Junko,Trial 6,"But it's not my fault, you know?",18,6,0,181,181,,,
00181,Junko,Trial 6,This game is a fight between the Future Foundation and me. You guys were just instigators in the background.,18,6,0,182,182,,,
00182,Junko,Trial 6,"But you guys already knew that when you chose to play this game, right?",18,6,0,183,183,,,
00183,Junko,Trial 6,"""As though we wanted to come to this world  of our own free will."" That's precisely the truth!",18,6,0,184,184,,,
00184,Junko,Trial 6,You guys chose to be instigators and you were willingly taken into the Neo World Program.,18,6,0,185,185,,,
00185,Junko,Trial 6,To provide the opportunity I needed to push this battle between hope and despair into overtime.,18,6,0,186,186,,,
00186,Junko,Trial 6,"That's right, the reason the Ultimate Despairs began killing each other was set up by the group itself.",18,6,0,187,187,,,
00187,Junko,Trial 6,"Ahhh, naive Makoto toootally fell for the trap! Ohoh, and now your face is filled with the lovely shade of despair!",18,6,0,188,188,,,
00188,Junko,Trial 6,"Whoa, that despair is fucking obvious! You're here to rescue the asshole who set this up in the first place!",18,6,0,189,189,,,
00189,Junko,Trial 6,"Thank youuu! It's all thanks to you guys! This time around, I might be able to fill these guys with despair.",18,6,0,190,190,,,
00190,Junko,Trial 6,"You're pretty fucking desperate! Well, that's pretty fucking obvious.",18,6,0,191,191,,,
00191,Junko,Trial 6,If you don't initiate the shutdown those Future Foundation fuckwits are gonna be trapped here forever.,18,6,0,192,192,,,
00192,Junko,Trial 6,"Puhuhuhuhu! Didn't I already explain it? You know, the Graduation Exam rule?",18,6,0,193,193,,,
00193,Junko,Trial 6,"But that's not all, right? In order to pass the Graduation Exam there was one more requirement.",18,6,0,194,194,,,
00194,Junko,Trial 6,"Obviously, there was no way I'd let the members of the Future Foundation graduate.",18,6,0,195,195,,,
00195,Junko,Trial 6,So if you can't activate the shutdown the Foundation will enter the endless life of repeating the gradeee!,18,6,0,196,196,,,
00196,Junko,Trial 6,Ohh?,18,6,0,197,197,,,
00197,Junko,Trial 6,That's my line. Thinking your little shutdown plan will succeed is a huge mistake.,18,6,0,198,198,,,
00198,Junko,Trial 6,You're totally overestimating those  chumps over there. There's no way they'll start the shutdown sequence.,18,6,0,199,199,,,
00199,Junko,Trial 6,Look upon their faces!,18,6,0,200,200,,,
00200,Junko,Trial 6,They look like piglets who were forced to watch their mom roasting on a spit.,18,6,0,201,201,,,
00201,Junko,Trial 6,There's no fucking way they'll initiate the shutdown just to go back to being Ultimate Despair.,18,6,0,202,202,,,
00202,Junko,Trial 6,Kyahahahahahahahaha!,18,6,0,203,203,,,
00203,Junko,Trial 6,"I-I was totally waiting for a protagonist to fly in like that! When I crush you with despair, such ecstacy, ah!",18,6,0,204,204,,,
00204,Junko,Trial 6,...,18,6,0,205,205,,,
00205,Junko,Trial 6,"Ahh, wrong, wrong. I'm not the one who's gonna make you fall into despair.",18,6,0,206,206,,,
00206,Junko,Trial 6,That's the mastermind's job. And they'll be appearing very soon.,18,6,0,207,207,,,
00207,Junko,Trial 6,You should never make the last character who appears in a detective story turn out to be the mastermind.,18,6,0,208,208,,,
00208,Junko,Trial 6,"Buuut, I always fall into that pattern. So I was kinda worried about that.",18,6,0,209,209,,,
00209,Junko,Trial 6,"Oh well, let's bring him up with lots of energy! It's Mr. Izuru Kamukura!",18,6,0,210,210,,,
00210,Junko,Trial 6,"If you do not know, then please allow me. Providing hopelessly skilled explanations is a quirk of mine.",18,6,0,211,211,,,
00211,Junko,Trial 6,The reason Izuru's existence continues to be such a mystery is because the academy hid it.,18,6,0,212,212,,,
00212,Junko,Trial 6,"However, that prestigious student ended up killing 13 Student Council members at Hope's Peak Academy.",18,6,0,213,213,,,
00213,Junko,Trial 6,"Izuru is the killer responsible for Hope's Peak Academy's Bigges, Most Awful Event.",18,6,0,214,214,,,
00214,Junko,Trial 6,"Oh, you thought Junko Enoshima killed them? Oh, don't say such cruel things...",18,6,0,215,215,,,
00215,Junko,Trial 6,Izuru Kamukura is very much alive.,18,6,0,216,216,,,
00216,Junko,Trial 6,"Isn't that right, Hajime?",18,6,0,217,217,,,
00217,Junko,Trial 6,"Like I said, you're Izuru Kamukura.",18,6,0,218,218,,,
00218,Junko,Trial 6,"Alrighty, if you don't understand I'll explain it to you until you do understand.",18,6,0,219,219,,,
00219,Junko,Trial 6,You're Izuru Kamukura. You're Izuru Kamukura. You're Izuru Kamukura. You're Izuru Kamukura.You're-,18,6,0,220,220,,,
00220,Junko,Trial 6,That's right. Hajime is one of those Reserve Course drop-outs and has nooo talent whatsoever.,18,6,0,221,221,,,
00221,Junko,Trial 6,But the fact that he's really Izuru Kamukura makes all this much more hopeless.,18,6,0,222,222,,,
00222,Junko,Trial 6,"Good news, Hajime!",18,6,0,223,223,,,
00223,Junko,Trial 6,Even though you were marked for being a Reserve Course student...,18,6,0,224,224,,,
00224,Junko,Trial 6,...you had a talent all along: Ultimate Hope!,18,6,0,225,225,,,
00225,Junko,Trial 6,"It's true, it was a break-through plan. After all, it was a plan to create the perfect genius.",18,6,0,226,226,,,
00226,Junko,Trial 6,"For the longest time, the Hope Cultivation Plan was the earnest wish of Hope's Peak Academy.",18,6,0,227,227,,,
00227,Junko,Trial 6,"In fact, that's why the academy was established. Part of that plan was researching the talents of Ultimates.",18,6,0,228,228,,,
00228,Junko,Trial 6,"Because the plan was so important, they adopted the name of the academy's founder.",18,6,0,229,229,,,
00229,Junko,Trial 6,And called it: The Izuru Kamukura Project.,18,6,0,230,230,,,
00230,Junko,Trial 6,Just a little while ago they were finally able to reach the experimental stage of that plan.,18,6,0,231,231,,,
00231,Junko,Trial 6,"From there, they set their sights on the Reserve Course drop-outs to use them as... lab rats.",18,6,0,232,232,,,
00232,Junko,Trial 6,A plan to create talent artificially requires test subjects that are wholly lacking in talent.,18,6,0,233,233,,,
00233,Junko,Trial 6,"From that group of Reserve Course students, the one who was finally chosen was...",18,6,0,234,234,,,
00234,Junko,Trial 6,"...Hajime, who stands before you now!",18,6,0,235,235,,,
00235,Junko,Trial 6,Because you admired Hope's Peak Academy more than anybody else.,18,6,0,236,236,,,
00236,Junko,Trial 6,You still don't get it? You were used by the academy.,18,6,0,237,237,,,
00237,Junko,Trial 6,They exploited your feelings of admiration towards hope and talent just to use you as a lab rat.,18,6,0,238,238,,,
00238,Junko,Trial 6,"See, didn't I tell you? The moment you cling to talent and hope, despair has already set in.",18,6,0,239,239,,,
00239,Junko,Trial 6,"Annnd, after many shurprishes Hajime Hinata wash transhformed into... Izuru 1.0.",18,6,0,240,240,,,
00240,Junko,Trial 6,Unless you're willing to go to extremes it's impossible to change a normal person into a perfect genius.,18,6,0,241,241,,,
00241,Junko,Trial 6,"So naturally, they went to extremes.",18,6,0,242,242,,,
00242,Junko,Trial 6,"By directly interfering with his brain, Hope's Peak Academy transformed Hajime Hinata...",18,6,0,243,243,,,
00243,Junko,Trial 6,...into a completely different person whose specialty is talent itself known as... Izuru Kamukura.,18,6,0,244,244,,,
00244,Junko,Trial 6,"Eventually, Izuru became an Ultimate Despair thanks to me.",18,6,0,245,245,,,
00245,Junko,Trial 6,But all I did to Izuru was simply break his spirit.,18,6,0,246,246,,,
00246,Junko,Trial 6,That's nothing compared to what Hope's Peak Academy did to him. Not even close.,18,6,0,247,247,,,
00247,Junko,Trial 6,Seriously. It's scary how determined the researchers were to mess with the human brain that much.,18,6,0,248,248,,,
00248,Junko,Trial 6,Doing such inhumane acts that nobody else was capable of with such a calm mind and a steady hand...,18,6,0,249,249,,,
00249,Junko,Trial 6,I admire it so much it makes my mind numb!,18,6,0,250,250,,,
00250,Junko,Trial 6,"By the way, you're just a simple avatar right now. So even if you touch your head, you won't feel the scar.",18,6,0,251,251,,,
00251,Junko,Trial 6,"Like I said, he's not Hajime. He's a completely different person whose specialty is talent itself.",18,6,0,252,252,,,
00252,Junko,Trial 6,"All of his sense, emotions, thoughts and hobbies that interfere with acquiring talent have ben excised",18,6,0,253,253,,,
00253,Junko,Trial 6,All of his memories of the past have been forcefully repressed into the darkest recesses of his mind.,18,6,0,254,254,,,
00254,Junko,Trial 6,So that's why it's so surprising Hajime that even exists here at all! Even if he's just an avatar.,18,6,0,255,255,,,
00255,Junko,Trial 6,The Neo World Program must've dug up those memories and rebuilt his old personality from data from the past.,18,6,1,0,256,,,
